Card,Quantity,Pilot,Archetype,Event,Date Posted,Main/Sideboard,Mana Value,Mana Cost,Colours,Most Recent Printing,Card Text,Type Line,Price EUR,Price USD,Rarity
Unlicensed Hearse,2,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2022-04-29,"{T}: Exile up to two target cards from a single graveyard.
Unlicensed Hearse's power and toughness are each equal to the number of cards exiled with it.
Crew 2",Artifact — Vehicle,12.23,5.31,rare
"Zirda, the Dawnwaker",1,Pilot 1,Azorius Control,MTG China Open,2023-06-06,Sideboard,3.0,{1}{R/W}{R/W},"['R', 'W']",2020-04-24,"Companion — Each permanent card in your starting deck has an activated ability. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Abilities you activate that aren't mana abilities cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
{1}, {T}: Target creature can't block this turn.",Legendary Creature — Elemental Fox,0.93,0.78,rare
Arboreal Grazer,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,1.0,{G},['G'],2019-05-03,"Reach
When Arboreal Grazer enters the battlefield, you may put a land card from your hand onto the battlefield tapped.",Creature — Beast,0.19,0.26,common
"Boseiju, Who Endures",3,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {G}.
Channel — {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,36.47,28.17,rare
Lair of the Hydra,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Lair of the Hydra enters the battlefield tapped.
{T}: Add {G}.
{X}{G}: Until end of turn, Lair of the Hydra becomes an X/X green Hydra creature. It's still a land. X can't be 0.",Land,2.95,1.52,rare
"Lier, Disciple of the Drowned",1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,5.0,{3}{U}{U},['U'],2021-09-24,"Spells can't be countered.
As long as it's your turn, each instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost.",Legendary Creature — Human Wizard,,,mythic
Hidden Strings,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,2.0,{1}{U},['U'],2013-05-03,"You may tap or untap target permanent, then you may tap or untap another target permanent.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",Sorcery,0.17,0.2,common
Behold the Beyond,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,7.0,{5}{B}{B},['B'],2016-04-08,"Discard your hand. Search your library for three cards, put them into your hand, then shuffle.",Sorcery,0.5,2.07,mythic
Breeding Pool,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2019-01-25,"({T}: Add {G} or {U}.)
As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Forest Island,17.77,20.64,rare
Dark Petition,2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,5.0,{3}{B}{B},['B'],2015-07-17,"Search your library for a card, put that card into your hand, then shuffle.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, add {B}{B}{B}.",Sorcery,4.72,5.07,rare
Bala Ged Recovery,3,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,3.0,{2}{G},['L'],2023-05-08,,Sorcery // Land,,2.65,uncommon
Omniscience,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,10.0,{7}{U}{U}{U},['U'],2018-07-13,You may cast spells from your hand without paying their mana costs.,Enchantment,8.73,13.2,mythic
Impulse,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,3.0,{2}{R},['R'],2014-07-18,"Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. (If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)",Sorcery,0.03,0.18,uncommon
Mastermind's Acquisition,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,4.0,{2}{B}{B},['B'],2018-01-19,"Choose one —
• Search your library for a card, put it into your hand, then shuffle.
• Put a card you own from outside the game into your hand.",Sorcery,0.5,1.38,rare
Emergent Ultimatum,3,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,7.0,{B}{B}{G}{G}{G}{U}{U},"['B', 'G', 'U']",2020-04-24,Search your library for up to three monocolored cards with different names and exile them. An opponent chooses one of those cards. Shuffle that card into your library. You may cast the other cards without paying their mana costs. Exile Emergent Ultimatum.,Sorcery,2.96,1.83,rare
Island,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-10-13,({T}: Add {U}.),Basic Land — Island,,,common
Lotus Field,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2019-07-12,"Hexproof
Lotus Field enters the battlefield tapped.
When Lotus Field enters the battlefield, sacrifice two lands.
{T}: Add three mana of any one color.",Land,3.52,4.01,rare
Pore Over the Pages,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,5.0,{3}{U}{U},['U'],2016-04-08,"Draw three cards, untap up to two lands, then discard a card.",Sorcery,0.13,0.12,uncommon
"Otawara, Soaring City",2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {U}.
Channel — {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,17.98,12.58,rare
Thespian's Stage,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2020-08-07,"{T}: Add {C}.
{2}, {T}: Thespian's Stage becomes a copy of target land, except it has this ability.",Land,1.65,1.76,rare
Shimmer of Possibility,2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,2.0,{1}{U},['U'],2019-01-25,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in a random order.,Sorcery,0.15,0.07,common
Sylvan Scrying,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,2.0,{1}{G},['G'],2015-10-02,"Search your library for a land card, reveal it, put it into your hand, then shuffle.",Sorcery,0.31,0.25,uncommon
Temple of Mystery,2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-04-21,"Temple of Mystery enters the battlefield tapped.
When Temple of Mystery enters the battlefield, scry 1.
{T}: Add {G} or {U}.",Land,0.35,0.19,rare
Vizier of Tumbling Sands,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,3.0,{2}{U},['U'],2020-04-17,"{T}: Untap another target permanent.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Vizier of Tumbling Sands, untap target permanent.",Creature — Human Cleric,0.19,0.23,uncommon
Botanical Sanctum,4,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2016-09-30,"Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",Land,8.94,6.88,rare
Pithing Needle,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,1.0,{1},[],2022-07-08,"As Pithing Needle enters the battlefield, choose a card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",Artifact,1.09,0.87,rare
Narset's Reversal,2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,2.0,{U}{U},['U'],2019-05-03,"Copy target instant or sorcery spell, then return it to its owner's hand. You may choose new targets for the copy.",Instant,4.44,7.43,rare
Languish,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,4.0,{2}{B}{B},['B'],2020-07-17,All creatures get -4/-4 until end of turn.,Sorcery,0.24,0.38,rare
"Zacama, Primal Calamity",1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,9.0,{6}{R}{G}{W},"['G', 'R', 'W']",2018-01-19,"Vigilance, reach, trample
When Zacama, Primal Calamity enters the battlefield, if you cast it, untap all lands you control.
{2}{R}: Zacama deals 3 damage to target creature.
{2}{G}: Destroy target artifact or enchantment.
{2}{W}: You gain 3 life.",Legendary Creature — Elder Dinosaur,12.07,23.34,mythic
Supreme Verdict,2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,4.0,{1}{W}{W}{U},"['U', 'W']",2022-07-08,"This spell can't be countered.
Destroy all creatures.",Sorcery,4.97,3.69,rare
Brotherhood's End,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,3.0,{1}{R}{R},['R'],2022-11-18,"Choose one —
• Brotherhood's End deals 3 damage to each creature and each planeswalker.
• Destroy all artifacts with mana value 3 or less.",Sorcery,6.22,4.2,rare
Voyaging Satyr,2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,2.0,{1}{G},['G'],2016-08-26,{T}: Untap target land.,Creature — Satyr Druid,0.19,0.09,common
Dragonlord Dromoka,2,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,6.0,{4}{G}{W},"['G', 'W']",2022-07-08,"This spell can't be countered.
Flying, lifelink
Your opponents can't cast spells during your turn.",Legendary Creature — Elder Dragon,4.97,6.77,mythic
Behold the Multiverse,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,4.0,{3}{U},['U'],2021-02-05,"Scry 2, then draw two cards.
Foretell {1}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",Instant,0.12,0.19,common
Tear Asunder,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,2.0,{1}{G},['G'],2022-09-09,"Kicker {1}{B} (You may pay an additional {1}{B} as you cast this spell.)
Exile target artifact or enchantment. If this spell was kicked, exile target nonland permanent instead.",Instant,0.64,1.5,uncommon
Approach of the Second Sun,1,Pilot 2,Lotus Field Combo,MTG China Open,2023-06-06,Sideboard,7.0,{6}{W},['W'],2017-04-28,"If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life.",Sorcery,0.76,2.48,rare
Atarka's Command,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,2.0,{R}{G},"['G', 'R']",2022-07-08,"Choose two —
• Your opponents can't gain life this turn.
• Atarka's Command deals 3 damage to each opponent.
• You may put a land card from your hand onto the battlefield.
• Creatures you control get +1/+1 and gain reach until end of turn.",Instant,0.5,1.2,rare
Audacity,1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,1.0,{G},['G'],2022-11-18,"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When Audacity is put into a graveyard from the battlefield, draw a card.",Enchantment — Aura,0.15,0.27,uncommon
Den of the Bugbear,3,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Den of the Bugbear enters the battlefield tapped.
{T}: Add {R}.
{3}{R}: Until end of turn, Den of the Bugbear becomes a 3/2 red Goblin creature with ""Whenever this creature attacks, create a 1/1 red Goblin creature token that's tapped and attacking."" It's still a land.",Land,8.46,5.31,rare
Copperline Gorge,3,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-02-03,"Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {G}.",Land,2.23,1.64,rare
Bonecrusher Giant,3,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,3.0,{2}{R},['R'],2022-06-10,,Creature — Giant // Instant — Adventure,0.48,0.41,rare
Cragcrown Pathway,3,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2023-05-08,,Land // Land,,3.36,rare
"Kari Zev, Skyship Raider",2,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,2.0,{1}{R},['R'],2022-09-09,"First strike, menace
Whenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat.",Legendary Creature — Human Pirate,0.17,0.16,rare
Karplusan Forest,3,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-09-09,"{T}: Add {C}.
{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.",Land,1.31,1.18,rare
Gallia of the Endless Dance,1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,2.0,{R}{G},"['G', 'R']",2020-01-24,"Haste
Other Satyrs you control get +1/+1 and have haste.
Whenever you attack with three or more creatures, you may discard a card at random. If you do, draw two cards.",Legendary Creature — Satyr,0.05,0.15,rare
Ghor-Clan Rampager,1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,4.0,{2}{R}{G},"['G', 'R']",2020-08-07,"Trample
Bloodrush — {R}{G}, Discard Ghor-Clan Rampager: Target attacking creature gets +4/+4 and gains trample until end of turn.",Creature — Beast,0.06,0.09,uncommon
Phoenix Chick,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,1.0,{R},['R'],2022-09-09,"Flying, haste
Phoenix Chick can't block.
Whenever you attack with three or more creatures, you may pay {R}{R}. If you do, return Phoenix Chick from your graveyard to the battlefield tapped and attacking with a +1/+1 counter on it.",Creature — Phoenix,0.44,0.31,uncommon
Ramunap Ruins,1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2017-07-14,"{T}: Add {C}.
{T}, Pay 1 life: Add {R}.
{2}{R}{R}, {T}, Sacrifice a Desert: Ramunap Ruins deals 2 damage to each opponent.",Land — Desert,0.58,0.87,uncommon
Monastery Swiftspear,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,1.0,{R},['R'],2022-11-18,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",Creature — Human Monk,0.25,0.2,uncommon
Kumano Faces Kakkazan,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,1.0,{R},['R'],2022-02-18,,Enchantment — Saga // Enchantment Creature — Human Shaman,,,uncommon
Lightning Strike,3,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,2.0,{1}{R},['R'],2022-09-09,Lightning Strike deals 3 damage to any target.,Instant,0.15,0.08,common
"Sokenzan, Crucible of Defiance",2,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {R}.
Channel — {3}{R}, Discard Sokenzan, Crucible of Defiance: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,3.38,3.11,rare
Reckless Bushwhacker,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,3.0,{2}{R},['R'],2016-01-22,"Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Haste
When Reckless Bushwhacker enters the battlefield, if its surge cost was paid, other creatures you control get +1/+0 and gain haste until end of turn.",Creature — Goblin Warrior Ally,1.81,2.57,uncommon
Burning-Tree Emissary,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,2.0,{R/G}{R/G},"['G', 'R']",2022-07-08,"When Burning-Tree Emissary enters the battlefield, add {R}{G}.",Creature — Human Shaman,0.24,0.14,common
Stomping Ground,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2019-01-25,"({T}: Add {R} or {G}.)
As Stomping Ground enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Mountain Forest,10.43,10.12,rare
Play with Fire,4,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,1.0,{R},['R'],2021-09-24,"Play with Fire deals 2 damage to any target. If a player is dealt damage this way, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",Instant,1.37,2.12,uncommon
Mountain,2,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Mainboard,1.0,{R},['R'],2008-10-03,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),Creature — Goblin Scout,0.05,0.08,common
"Chandra, Torch of Defiance",1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,4.0,{2}{R}{R},['R'],2016-09-30,"+1: Exile the top card of your library. You may cast that card. If you don't, Chandra, Torch of Defiance deals 2 damage to each opponent.
+1: Add {R}{R}.
−3: Chandra, Torch of Defiance deals 4 damage to target creature.
−7: You get an emblem with ""Whenever you cast a spell, this emblem deals 5 damage to any target.""",Legendary Planeswalker — Chandra,3.73,3.68,mythic
Unlicensed Hearse,2,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2022-04-29,"{T}: Exile up to two target cards from a single graveyard.
Unlicensed Hearse's power and toughness are each equal to the number of cards exiled with it.
Crew 2",Artifact — Vehicle,12.23,5.31,rare
